ZPID,Street,Unit,City,State,Zipcode,Type,Price,HOA Fee,Zestimate,Rent Zestimate,Days On Zillow,Bedrooms,Bathrooms,Living Area,Year Built,lotSize
15169115,282 Moscow St,,San Francisco,CA,94112,SINGLE_FAMILY,925000,,1111144,3700,3,3,2,1025,1949,1873
15178077,400 Rolph St,,San Francisco,CA,94112,SINGLE_FAMILY,870000,,873129,3695,68,3,1,1269,1924,2696
2077784104,1172 Union St #1176,1176,San Francisco,CA,94109,SINGLE_FAMILY,2500000,,,,4,6,6,,1908,
2088227498,811 Carolina St,,San Francisco,CA,94107,SINGLE_FAMILY,1800000,,4438982,2700,4,7,6,3565,1911,2500
15194397,119 Lobos St,,San Francisco,CA,94112,SINGLE_FAMILY,802888,,1364719,3350,4,3,3,1652,1908,3123
15080532,2760 Lyon St,,San Francisco,CA,94123,SINGLE_FAMILY,4995000,,5437343,14995,11,3,3,3061,1967,1877
15139850,143 Flood Ave,,San Francisco,CA,94131,SINGLE_FAMILY,221100,,2496997,4000,3,4,5,2983,1908,2809
15187857,254 Jules Ave,,San Francisco,CA,94112,SINGLE_FAMILY,259000,,1289377,3500,3,3,1,950,1922,2809
15180229,114 Jersey St,,San Francisco,CA,94114,SINGLE_FAMILY,1800000,0,3389702,4999,4,3,5,2723,1908,1999
2076190090,347 28th Ave #349,349,San Francisco,CA,94121,SINGLE_FAMILY,2355000,200,,,4,11,5,4045,1924,2996
15084921,2030 Golden Gate Ave,,San Francisco,CA,94115,SINGLE_FAMILY,2740000,,2745018,5095,4,3,3,3260,,3438
15081932,3008 Clay St,,San Francisco,CA,94115,CONDO,2625000,420,2633284,7500,5,3,3,2117,,
15064989,101 Lombard St APT 712W,712W,San Francisco,CA,94111,CONDO,1540000,1623,1601139,4400,5,2,2,1518,1983,113438
80740343,38 Lusk St APT 4,4,San Francisco,CA,94107,CONDO,1450000,410,1998803,3995,5,1,2,1720,1995,3825
2091349929,8 Joost Ave #4,4,San Francisco,CA,94131,CONDO,1235000,400,,,6,3,2,2138,1979,2866
15150275,806 Potrero Ave,,San Francisco,CA,94110,SINGLE_FAMILY,1010000,,1377695,3900,5,4,3,1133,1900,2395
2078731619,1608 Vallejo St,,San Francisco,CA,94123,MULTI_FAMILY,3000000,,4248951,,74,1,1,3801,1900,3436
15068980,900 Bush St APT 209,209,San Francisco,CA,94109,CONDO,715000,1079,,2500,11,1,1,632,1982,37816
15067905,1250 Jones St UNIT 1102,1102,San Francisco,CA,94109,CONDO,1525000,752,1657179,4250,6,1,1,1115,1929,
15072017,2920 Buchanan St APT 8,8,San Francisco,CA,94123,CONDO,1150000,456,1084194,3495,7,1,1,950,1964,
15118210,2117 14th Ave,,San Francisco,CA,94116,SINGLE_FAMILY,1250000,,1218616,3350,14,6,3.5,3498,1969,1264
2076570479,602 Mississippi St #604,604,San Francisco,CA,94107,SINGLE_FAMILY,1500000,,,,7,5,,,,2495
15181174,4319 25th St,,San Francisco,CA,94114,SINGLE_FAMILY,1680000,,3924722,3995,7,4,5,2893,1903,3036
15068956,1001 Pine St UNIT 1411,1411,San Francisco,CA,94109,CONDO,659000,459,639535,2300,7,0,1,450,1963,18906
59779324,68 Parker Ave,,San Francisco,CA,94118,CONDO,2625000,250,2595023,6000,7,3,3,2478,,3271
15089887,4924 California St,,San Francisco,CA,94118,SINGLE_FAMILY,3200000,,3229811,8995,20,5,5,2900,1906,2500
303806628,1075 Market St UNIT 301,301,San Francisco,CA,94103,CONDO,638500,665,593177,2600,9,0,1,544,2018,
15132244,4448 24th St,,San Francisco,CA,94114,SINGLE_FAMILY,5500,,1721480,5400,7,2,2,1414,1910,2944
15146161,3627 21st St,,San Francisco,CA,94114,SINGLE_FAMILY,4500000,,4823010,14995,10,3,3,3003,1931,2850
249698462,401 Harrison St APT 15G,15G,San Francisco,CA,94105,CONDO,1200000,1285,1098506,3648,7,1,1,819,2014,
15148250,201 Harrison St APT 504,504,San Francisco,CA,94105,CONDO,819000,720,825869,2895,9,1,,795,1991,38449
15181222,484 Clipper St,,San Francisco,CA,94114,CONDO,1300000,500,1498856,4000,10,4,2,2128,1973,1375
2076570582,466 Elizabeth St #468,468,San Francisco,CA,94114,SINGLE_FAMILY,1900000,,,,7,5,5,5400,,2962
241586671,4380 17th St #A,A,San Francisco,CA,94114,CONDO,10500,250,920404,3195,10,2,2,738,,2187
15152703,1458 Kansas St,,San Francisco,CA,94107,SINGLE_FAMILY,1600000,,2076282,4500,9,6,5,3755,1907,2100
15123371,2510 24th Ave,,San Francisco,CA,94116,SINGLE_FAMILY,1380000,,1255308,3800,10,3,1,1250,1917,3600
184817790,251 Missouri St,,San Francisco,CA,94107,CONDO,2995000,300,2909803,7500,9,4,3,2323,1900,2472
15069431,631 Ofarrell St APT 507,507,San Francisco,CA,94109,CONDO,529000,585,513296,1875,11,0,1,520,1930,
15101274,1251 37th Ave,,San Francisco,CA,94122,SINGLE_FAMILY,325000,,2871854,5286,11,4,4,2864,1912,3000
241586760,50 Jerrold Ave #315,315,San Francisco,CA,94124,CONDO,889000,544,893869,3600,11,3,2,1283,2017,
111933745,357 Louisburg St,,San Francisco,CA,94112,SINGLE_FAMILY,1600000,,1740327,3995,11,5,5,3092,2010,2583
15191948,2586 San Jose Ave,,San Francisco,CA,94112,SINGLE_FAMILY,1250000,,1253956,3500,47,4,3,1400,1909,2495
89237437,690 Market St #504,504,San Francisco,CA,94104,MULTI_FAMILY,1412000,2900,2735622,5500,19,2,2.5,1695,2016,
89236573,690 Market St #502,502,San Francisco,CA,94104,MULTI_FAMILY,875000,2772,878203,4600,19,1,1.5,1315,2007,
79846335,201 Sansome St UNIT 604,604,San Francisco,CA,94104,CONDO,950000,728,,3000,7,1,1,806,1909,
64972281,333 Cherry St #B,B,San Francisco,CA,94118,CONDO,537500,,592260,1999,11,0,,,,
59981246,239 Brannan St UNIT 12A,12A,San Francisco,CA,94107,CONDO,7495,,1693557,6990,47,3,3,1495,2002,
15063789,149 Pfeiffer St,,San Francisco,CA,94133,CONDO,1025000,,1032559,3950,76,2,1,1050,1916,1049
303806128,580 Hayes St #504,504,San Francisco,CA,94102,MULTI_FAMILY,1066000,,1072864,3095,20,1,1,771,2018,
2075574117,51 Moss St #A,A,San Francisco,CA,94103,SINGLE_FAMILY,840000,275,,,11,2,2,1051,1906,
303806800,52 Innes Ct #212,212,San Francisco,CA,94124,CONDO,993000,567,931142,3150,11,2,2,1080,2017,
2076570895,660 De Haro St #662,662,San Francisco,CA,94107,MULTI_FAMILY,2300000,,4207499,,11,5,5,3500,,
15077817,601 Van Ness Ave APT 812,812,San Francisco,CA,94102,CONDO,665000,940,647634,2600,11,1,1,708,1982,
15190413,531 Orizaba Ave,,San Francisco,CA,94132,MULTI_FAMILY,1350000,,1512967,4200,11,4,3,1828,1962,2495
89237021,451 Kansas St UNIT 392,392,San Francisco,CA,94107,CONDO,1300000,617,1264172,3800,26,2,2,964,2008,
2128416891,479 Greenwich St APT 2,2,San Francisco,CA,94133,CONDO,885000,323,,3600,30,2,1,700,1907,
2076570938,1156 Church St #1158,1158,San Francisco,CA,94114,SINGLE_FAMILY,2203000,,2399015,,11,5,2,2414,1908,1711
303806703,1075 Market St #807,807,San Francisco,CA,94103,MULTI_FAMILY,733000,737,736596,2600,22,1,1,550,2018,
15183901,1760 Dolores St,,San Francisco,CA,94110,SINGLE_FAMILY,2125000,,2069804,4700,11,2,2,,1923,2672
249664399,318 Main St UNIT 5J,5J,San Francisco,CA,94105,CONDO,1225000,1179,1260975,3300,11,1,1,882,2015,
15149762,506 Wisconsin St,,San Francisco,CA,94107,MULTI_FAMILY,1065000,878,1065417,3200,33,2,2,1130,1978,
241586759,50 Jerrold Ave #313,313,San Francisco,CA,94124,CONDO,810000,610,827106,3100,52,2,2,1156,2016,
15192153,601 Lakeview Ave,,San Francisco,CA,94112,SINGLE_FAMILY,900000,0,1222643,3500,52,3,2,1387,1912,2225
2079938674,88 Townsend St,,San Francisco,CA,94107,MULTI_FAMILY,1259000,,1244948,,85,2,2,1206,,
2076570686,109 Willard North St #111,111,San Francisco,CA,94118,SINGLE_FAMILY,1850000,,,,3,4,2,2130,1946,1799
249665340,181 Fremont St UNIT 65A,65A,San Francisco,CA,94105,MULTI_FAMILY,5750000,,5773724,8000,355,2,2.5,1827,2018,
15154706,1003 Hollister Ave,,San Francisco,CA,94124,SINGLE_FAMILY,980000,,980427,3695,2,5,2,1523,1964,2495
15165582,18 Dartmouth St,,San Francisco,CA,94134,SINGLE_FAMILY,1700000,,1715959,3995,26,3,3,1200,1930,2330
2076570736,1534 Grant Ave #1538,1538,San Francisco,CA,94133,SINGLE_FAMILY,2200000,,,,11,6,2,3240,1906,1200
303806563,1238 Sutter St UNIT 302,302,San Francisco,CA,94109,MULTI_FAMILY,609000,503,613325,1988,120,0,1,448,2018,
325647836,155 29th St,,San Francisco,CA,94110,MULTI_FAMILY,2700000,,2627318,,89,4,4.5,2800,1907,
2078749338,1425 Vallejo St,,San Francisco,CA,94109,MULTI_FAMILY,1285000,,,,0,1,1,800,,
121337259,610 Peralta Ave,,San Francisco,CA,94110,CONDO,1070000,200,1041892,3195,3,2,1,,1959,
2084196511,520 Natoma St APT 8,8,San Francisco,CA,94103,MULTI_FAMILY,379000,300,605526,2200,22,1,1,330,1911,
303806639,1075 Market St #508,508,San Francisco,CA,94103,MULTI_FAMILY,695500,737,712708,2700,144,1,1,560,2018,
303806637,1075 Market St UNIT 510,510,San Francisco,CA,94103,MULTI_FAMILY,720070,737,732738,2700,474,1,1,600,2018,
59779555,1216 47th Ave,,San Francisco,CA,94122,CONDO,4100,0,1120255,3600,130,3,3,1315,1999,
15187634,255 Ashton Ave,,San Francisco,CA,94112,SINGLE_FAMILY,1650000,3,2749003,7456,11,5,5,3891,1922,5749
15169239,200 Naples St,,San Francisco,CA,94112,SINGLE_FAMILY,785000,0,1393102,3795,148,3,3,2044,1907,2495
2087458918,1145 Pine St APT 26,26,San Francisco,CA,94109,CONDO,595000,51,636683,2590,157,1,1,600,1912,
2086678442,83 Duboce Ave #B,B,San Francisco,CA,94103,CONDO,200000,551,,2295,162,0,1,423,1981,6327
15075416,1940 Bush St,,San Francisco,CA,94115,CONDO,2100000,,1770752,6000,11,4,2,,1900,
15171888,722 Girard St,,San Francisco,CA,94134,SINGLE_FAMILY,830000,0,1377535,3200,199,5,3,2700,1907,3998
15071301,2285 Greenwich St,,San Francisco,CA,94123,SINGLE_FAMILY,2150000,,1854295,5950,5,3,2,1823,1927,1415
15198526,208 N Lake Merced Hls APT 2D,2D,San Francisco,CA,94132,CONDO,50000,,869114,3500,11,2,2,1384,1975,
54854709,88 King St UNIT 904,904,San Francisco,CA,94107,MULTI_FAMILY,1540000,1039,1540447,3850,0,2,2,1167,2000,
15067154,170 Pacific Ave APT 22,22,San Francisco,CA,94111,CONDO,1665000,955,1677745,4895,16,2,2,1347,1985,
